customer_id,customer_name,gender,age,country,signup_date,subscription_plan,monthly_fee,billing_cycle,payment_method,last_payment_date,login_frequency,support_tickets,avg_session_minutes,total_revenue,auto_renew,contract_type,churn_status,churn_date,churn_reason
1001,Aarav Smith,Female,19,UK,2023-06-09,Standard,19.99,Monthly,Debit Card,2024-01-16,46,8,30.7,139.93,No,Monthly,No,,
1002,Om Smith,Female,58,Canada,2025-03-01,Standard,19.99,Yearly,UPI,2027-07-05,42,0,57.8,6716.64,Yes,Monthly,Yes,2027-07-12,Switched Competitor
1003,Alex Waghchaure,Male,42,Japan,2025-02-05,Basic,9.99,Yearly,Credit Card,2027-01-15,2,8,34.0,2757.24,No,Annual,Yes,2027-03-06,Poor Support
1004,Noah Brown,Female,24,Canada,2024-12-13,Basic,9.99,Monthly,Debit Card,2026-04-07,47,9,87.5,159.84,Yes,Monthly,No,,
1005,Alex Johnson,Female,44,Germany,2024-09-24,Standard,19.99,Monthly,UPI,2025-06-18,17,8,70.1,159.92,Yes,Annual,No,,
1006,Alex Brown,Female,51,UK,2024-02-04,Premium,39.99,Monthly,Debit Card,2024-11-11,55,4,137.2,359.91,Yes,Annual,No,,
1007,Noah Patel,Female,32,Canada,2025-03-22,Premium,39.99,Monthly,Credit Card,2026-09-02,45,10,112.5,679.83,Yes,Annual,Yes,2026-09-16,Switched Competitor
1008,Emma Smith,Male,19,Japan,2023-06-04,Premium,39.99,Yearly,UPI,2023-08-29,37,9,162.8,959.76,No,Annual,Yes,2023-10-11,High Price
1009,Ethan Patel,Male,35,USA,2022-12-02,Basic,9.99,Monthly,Debit Card,2024-03-23,9,4,83.4,149.85,No,Annual,Yes,2024-04-10,Poor Support
1010,Mia Smith,Male,33,USA,2022-08-19,Premium,39.99,Yearly,Debit Card,2023-12-02,35,9,122.9,7198.2,No,Monthly,Yes,2024-01-26,Features Missing
1011,Emma Sharma,Female,24,UK,2024-12-31,Basic,9.99,Monthly,UPI,2025-09-17,45,2,118.3,79.92,Yes,Annual,Yes,2025-10-16,Low Usage
1012,John Brown,Female,29,Japan,2022-06-25,Premium,39.99,Monthly,PayPal,2024-08-23,18,7,152.2,1039.74,No,Monthly,No,,
1013,Anaya Smith,Male,28,India,2023-10-31,Premium,39.99,Yearly,UPI,2025-01-28,55,5,44.1,7198.2,No,Annual,Yes,2025-03-20,Features Missing
1014,Om Sharma,Female,40,Australia,2022-09-27,Standard,19.99,Yearly,PayPal,2024-05-16,6,7,27.1,4557.72,Yes,Annual,No,,
1015,Ethan Sharma,Female,63,Germany,2023-12-07,Basic,9.99,Yearly,Credit Card,2024-06-02,38,4,64.0,599.4,No,Annual,No,,
1016,John Waghchaure,Female,61,USA,2022-07-12,Basic,9.99,Monthly,PayPal,2024-04-12,0,6,43.3,209.79,No,Annual,No,,
1017,Priya Smith,Male,33,Canada,2022-02-12,Basic,9.99,Monthly,Debit Card,2023-10-29,29,0,153.4,199.8,No,Annual,No,,
1018,Noah Johnson,Male,61,Canada,2024-07-02,Basic,9.99,Yearly,UPI,2025-03-13,42,1,144.1,959.04,Yes,Annual,Yes,2025-03-22,Poor Support
1019,Noah Sharma,Female,56,Canada,2023-06-18,Standard,19.99,Yearly,Debit Card,2024-04-07,27,8,69.4,2158.92,Yes,Monthly,No,,
1020,Kabir Patel,Female,52,Australia,2024-04-12,Premium,39.99,Monthly,Debit Card,2026-06-03,54,3,24.2,1039.74,Yes,Annual,No,,
1021,Alex Waghchaure,Male,23,India,2023-02-11,Premium,39.99,Yearly,PayPal,2024-06-11,51,2,97.3,7678.08,Yes,Annual,No,,
1022,Anaya Patel,Male,35,USA,2025-04-03,Premium,39.99,Yearly,UPI,2027-02-20,55,4,50.2,10557.36,Yes,Annual,No,,
1023,John Waghchaure,Female,34,Canada,2022-06-27,Premium,39.99,Yearly,Credit Card,2023-08-24,32,4,162.2,6718.32,No,Monthly,Yes,2023-09-01,Switched Competitor
1024,Noah Smith,Male,60,Canada,2025-03-14,Premium,39.99,Monthly,PayPal,2025-06-20,19,8,66.5,119.97,Yes,Monthly,No,,
1025,Olivia Sharma,Male,57,Canada,2023-11-29,Standard,19.99,Monthly,PayPal,2024-12-26,18,6,117.4,259.87,No,Annual,No,,
1026,Noah Smith,Male,38,India,2023-07-14,Standard,19.99,Yearly,Debit Card,2024-05-14,55,5,78.0,2398.8,Yes,Monthly,No,,
1027,Sophia Patel,Male,57,Australia,2022-06-18,Basic,9.99,Monthly,UPI,2023-07-03,9,0,46.9,119.88,No,Monthly,No,,
1028,Alex Sharma,Female,19,Germany,2024-04-04,Basic,9.99,Monthly,UPI,2025-08-09,10,4,9.9,159.84,Yes,Monthly,Yes,2025-10-08,Low Usage
1029,Alex Sharma,Female,21,Germany,2024-10-03,Standard,19.99,Monthly,PayPal,2026-08-23,33,9,81.3,439.78,No,Annual,No,,
1030,Priya Sharma,Male,21,USA,2024-10-06,Premium,39.99,Yearly,Debit Card,2025-04-27,55,10,59.3,2879.28,Yes,Annual,Yes,2025-05-22,Poor Support
1031,Noah Waghchaure,Male,62,Canada,2025-03-18,Premium,39.99,Monthly,Credit Card,2026-12-19,22,9,17.2,839.79,Yes,Annual,No,,
1032,Sophia Sharma,Female,31,Germany,2023-09-29,Standard,19.99,Monthly,Credit Card,2025-08-05,32,3,108.4,439.78,Yes,Annual,No,,
1033,Ava Brown,Male,59,Japan,2024-12-18,Premium,39.99,Yearly,UPI,2026-06-17,52,0,26.9,8637.84,No,Annual,No,,
1034,Ava Smith,Male,47,UK,2025-01-05,Premium,39.99,Yearly,UPI,2027-04-20,24,7,82.4,12956.76,No,Monthly,No,,
1035,Alex Waghchaure,Female,28,Australia,2023-12-25,Basic,9.99,Yearly,PayPal,2025-10-21,26,7,171.7,2637.36,Yes,Monthly,No,,
1036,Riya Smith,Female,33,Germany,2022-10-27,Standard,19.99,Yearly,PayPal,2023-03-09,15,2,144.0,959.52,No,Annual,No,,
1037,Ethan Smith,Female,63,Canada,2023-07-23,Basic,9.99,Monthly,Credit Card,2024-04-24,50,0,177.7,89.91,Yes,Monthly,No,,
1038,Liam Johnson,Male,20,India,2022-01-01,Basic,9.99,Monthly,Credit Card,2022-09-13,11,4,66.6,79.92,No,Annual,No,,
1039,Ava Brown,Female,60,USA,2023-10-29,Standard,19.99,Yearly,Credit Card,2023-12-11,53,8,133.5,239.88,No,Monthly,Yes,2023-12-18,Poor Support
1040,Ethan Brown,Female,39,UK,2022-08-31,Basic,9.99,Yearly,Debit Card,2023-06-24,0,2,34.7,1078.92,No,Annual,Yes,2023-06-25,Low Usage
